dataset,category,method,n0,n1,seed,feature_mode,subset_family,subset_label,subset_param,n_features_used,n_features_total,rf_sep_mean,rf_sep_sd,rf_auc_mean,rf_auc_sd,corr_mean_abs_diff,corr_max_abs_diff,prop_significant,kept_feature_idx,kept_feature_names
breast_cancer,clinical_tabular,bootstrap,23,68,42,full,full,all_features,,30,30,0.5826,0.057715397949713795,0.4437555555555555,0.08360854997923135,0.042124342723514174,0.3287464983580435,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[np.str_('mean radius'), np.str_('mean texture'), np.str_('mean perimeter'), np.str_('mean area'), np.str_('mean smoothness'), np.str_('mean compactness'), np.str_('mean concavity'), np.str_('mean concave points'), np.str_('mean symmetry'), np.str_('mean fractal dimension'), np.str_('radius error'), np.str_('texture error'), np.str_('perimeter error'), np.str_('area error'), np.str_('smoothness error'), np.str_('compactness error'), np.str_('concavity error'), np.str_('concave points error'), np.str_('symmetry error'), np.str_('fractal dimension error'), np.str_('worst radius'), np.str_('worst texture'), np.str_('worst perimeter'), np.str_('worst area'), np.str_('worst smoothness'), np.str_('worst compactness'), np.str_('worst concavity'), np.str_('worst concave points'), np.str_('worst symmetry'), np.str_('worst fractal dimension')]"
breast_cancer,clinical_tabular,gmm,23,68,42,full,full,all_features,,30,30,0.6,0.07318166133366717,0.5666666666666668,0.104456264106616,0.05014774494441464,0.21020961550561326,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[np.str_('mean radius'), np.str_('mean texture'), np.str_('mean perimeter'), np.str_('mean area'), np.str_('mean smoothness'), np.str_('mean compactness'), np.str_('mean concavity'), np.str_('mean concave points'), np.str_('mean symmetry'), np.str_('mean fractal dimension'), np.str_('radius error'), np.str_('texture error'), np.str_('perimeter error'), np.str_('area error'), np.str_('smoothness error'), np.str_('compactness error'), np.str_('concavity error'), np.str_('concave points error'), np.str_('symmetry error'), np.str_('fractal dimension error'), np.str_('worst radius'), np.str_('worst texture'), np.str_('worst perimeter'), np.str_('worst area'), np.str_('worst smoothness'), np.str_('worst compactness'), np.str_('worst concavity'), np.str_('worst concave points'), np.str_('worst symmetry'), np.str_('worst fractal dimension')]"
breast_cancer,clinical_tabular,cvae,23,68,42,full,full,all_features,,30,30,0.6131666666666666,0.07541717311063842,0.6021666666666667,0.08975754378695236,0.10025873600384527,0.4026118889240533,0.16666666666666666,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[np.str_('mean radius'), np.str_('mean texture'), np.str_('mean perimeter'), np.str_('mean area'), np.str_('mean smoothness'), np.str_('mean compactness'), np.str_('mean concavity'), np.str_('mean concave points'), np.str_('mean symmetry'), np.str_('mean fractal dimension'), np.str_('radius error'), np.str_('texture error'), np.str_('perimeter error'), np.str_('area error'), np.str_('smoothness error'), np.str_('compactness error'), np.str_('concavity error'), np.str_('concave points error'), np.str_('symmetry error'), np.str_('fractal dimension error'), np.str_('worst radius'), np.str_('worst texture'), np.str_('worst perimeter'), np.str_('worst area'), np.str_('worst smoothness'), np.str_('worst compactness'), np.str_('worst concavity'), np.str_('worst concave points'), np.str_('worst symmetry'), np.str_('worst fractal dimension')]"
diabetes,metabolic_tabular,bootstrap,23,68,42,full,full,all_features,,8,8,0.5961222222222223,0.06551109509271627,0.4255222222222222,0.08935460705788557,0.054022784400137816,0.27280096627824857,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]","['preg', 'plas', 'pres', 'skin', 'insu', 'mass', 'pedi', 'age']"
diabetes,metabolic_tabular,gmm,23,68,42,full,full,all_features,,8,8,0.6198333333333333,0.08380516425349668,0.5961666666666666,0.11016036290588171,0.05706897183947145,0.15795524681134315,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]","['preg', 'plas', 'pres', 'skin', 'insu', 'mass', 'pedi', 'age']"
diabetes,metabolic_tabular,cvae,23,68,42,full,full,all_features,,8,8,0.6675,0.08897174957379575,0.6615000000000001,0.09944833946437832,0.12281737351349217,0.35076739091546305,0.125,"[0, 1, 2, 3, 4, 5, 6, 7]","['preg', 'plas', 'pres', 'skin', 'insu', 'mass', 'pedi', 'age']"
breast_cancer,clinical_tabular,bootstrap,35,35,42,full,full,all_features,,30,30,0.5982999999999999,0.06880747070406931,0.41207777777777777,0.08165194954315257,0.07439523080654697,0.25253779810417626,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[np.str_('mean radius'), np.str_('mean texture'), np.str_('mean perimeter'), np.str_('mean area'), np.str_('mean smoothness'), np.str_('mean compactness'), np.str_('mean concavity'), np.str_('mean concave points'), np.str_('mean symmetry'), np.str_('mean fractal dimension'), np.str_('radius error'), np.str_('texture error'), np.str_('perimeter error'), np.str_('area error'), np.str_('smoothness error'), np.str_('compactness error'), np.str_('concavity error'), np.str_('concave points error'), np.str_('symmetry error'), np.str_('fractal dimension error'), np.str_('worst radius'), np.str_('worst texture'), np.str_('worst perimeter'), np.str_('worst area'), np.str_('worst smoothness'), np.str_('worst compactness'), np.str_('worst concavity'), np.str_('worst concave points'), np.str_('worst symmetry'), np.str_('worst fractal dimension')]"
breast_cancer,clinical_tabular,gmm,35,35,42,full,full,all_features,,30,30,0.5708333333333333,0.04736823830374105,0.49650000000000005,0.08514024378113509,0.05821120792003537,0.23503239847103957,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[np.str_('mean radius'), np.str_('mean texture'), np.str_('mean perimeter'), np.str_('mean area'), np.str_('mean smoothness'), np.str_('mean compactness'), np.str_('mean concavity'), np.str_('mean concave points'), np.str_('mean symmetry'), np.str_('mean fractal dimension'), np.str_('radius error'), np.str_('texture error'), np.str_('perimeter error'), np.str_('area error'), np.str_('smoothness error'), np.str_('compactness error'), np.str_('concavity error'), np.str_('concave points error'), np.str_('symmetry error'), np.str_('fractal dimension error'), np.str_('worst radius'), np.str_('worst texture'), np.str_('worst perimeter'), np.str_('worst area'), np.str_('worst smoothness'), np.str_('worst compactness'), np.str_('worst concavity'), np.str_('worst concave points'), np.str_('worst symmetry'), np.str_('worst fractal dimension')]"
breast_cancer,clinical_tabular,cvae,35,35,42,full,full,all_features,,30,30,0.6115,0.07502573632501792,0.5931666666666667,0.09685599275900968,0.10481173616646502,0.4035929891233934,0.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[np.str_('mean radius'), np.str_('mean texture'), np.str_('mean perimeter'), np.str_('mean area'), np.str_('mean smoothness'), np.str_('mean compactness'), np.str_('mean concavity'), np.str_('mean concave points'), np.str_('mean symmetry'), np.str_('mean fractal dimension'), np.str_('radius error'), np.str_('texture error'), np.str_('perimeter error'), np.str_('area error'), np.str_('smoothness error'), np.str_('compactness error'), np.str_('concavity error'), np.str_('concave points error'), np.str_('symmetry error'), np.str_('fractal dimension error'), np.str_('worst radius'), np.str_('worst texture'), np.str_('worst perimeter'), np.str_('worst area'), np.str_('worst smoothness'), np.str_('worst compactness'), np.str_('worst concavity'), np.str_('worst concave points'), np.str_('worst symmetry'), np.str_('worst fractal dimension')]"
diabetes,metabolic_tabular,bootstrap,35,35,42,full,full,all_features,,8,8,0.5971555555555556,0.06792158150814732,0.41766666666666674,0.08528637307389009,0.0671154082687209,0.251147425935038,0.0,"[0, 1, 2, 3, 4, 5, 6, 7]","['preg', 'plas', 'pres', 'skin', 'insu', 'mass', 'pedi', 'age']"
