Dataset,Method,n₀,n₁,TSTR F1 ↑,TRTR F1 (base),Util Gap ↓,KLD Mean ↓,Corr Diff ↓,Prop Sig ↓,RF Sep (mean ± SD),Disc F1 (mean ± SD)
HIV,bootstrap,4,13,1.0,1.0,0.0,2.735733522320972,0.2185829470712013,0.0,0.672 ± 0.079,0.374 ± 0.072
HIV,bootstrap,6,20,1.0,0.977777777777778,-0.0222222222222221,1.807814055471529,0.1238185138074192,0.0,0.649 ± 0.062,0.381 ± 0.075
HIV,bootstrap,9,27,0.9818181818181818,0.9442113442113442,-0.0376068376068375,1.9205038542766248,0.1405967273335762,0.0,0.661 ± 0.067,0.434 ± 0.099
HIV,bootstrap,11,34,1.0,0.937948717948718,-0.0620512820512819,1.1108381121658812,0.0893221570024006,0.0,0.692 ± 0.064,0.372 ± 0.106
HIV,gmm,4,13,1.0,1.0,0.0,6.786397042245503,0.1196344265682467,0.0,0.630 ± 0.110,0.501 ± 0.134
HIV,gmm,6,20,1.0,0.977777777777778,-0.0222222222222221,4.719118169230419,0.1378393894487324,0.0,0.804 ± 0.114,0.666 ± 0.130
HIV,gmm,9,27,1.0,0.9442113442113442,-0.0557886557886557,3.5587375560451564,0.1051706378028293,0.0,0.844 ± 0.086,0.765 ± 0.118
HIV,gmm,11,34,0.9850746268656716,0.937948717948718,-0.0471259089169535,2.3904248254492275,0.1172564518830863,0.0,0.898 ± 0.088,0.846 ± 0.086
HIV,cvae,4,13,0.96,1.0,0.04,11.276168416668847,0.200524599872031,0.0793650793650793,0.759 ± 0.102,0.728 ± 0.107
HIV,cvae,6,20,0.9743589743589745,0.977777777777778,0.0034188034188035,7.346111606771631,0.1727458939203353,0.0634920634920634,0.738 ± 0.058,0.659 ± 0.077
HIV,cvae,9,27,0.9642857142857144,0.9442113442113442,-0.02007437007437,6.315399792166565,0.1594580212605651,0.0476190476190476,0.873 ± 0.042,0.834 ± 0.036
HIV,cvae,11,34,0.9696969696969696,0.937948717948718,-0.0317482517482516,5.026886847537441,0.161350445476463,0.1904761904761904,0.887 ± 0.038,0.829 ± 0.053
breast_cancer,bootstrap,42,71,0.9714285714285714,0.9507206714103266,-0.0207079000182448,0.5303021306690089,0.064503817603119,0.0,0.605 ± 0.050,0.440 ± 0.074
breast_cancer,bootstrap,63,107,0.9760765550239234,0.9542533489757836,-0.0218232060481399,0.416967073615029,0.0578353456994663,0.0,0.627 ± 0.075,0.438 ± 0.119
breast_cancer,bootstrap,84,142,0.9894736842105264,0.972046495549218,-0.0174271886613083,0.4793250121232128,0.044380248210631,0.0,0.607 ± 0.061,0.483 ± 0.075
breast_cancer,bootstrap,106,178,0.9887005649717514,0.971812798178632,-0.0168877667931193,0.2791746899562136,0.0575431567679231,0.0,0.592 ± 0.061,0.427 ± 0.076
