Dataset,Method,k (features kept),# Features,TSTR F1 ↑,TRTR F1 (base),Util Gap ↓,KLD Mean ↓,Corr Diff ↓,Prop Sig ↓,RF Sep (mean ± SD),Disc F1 (mean ± SD)
HIV,bootstrap,3.0,3,0.9852941176470589,0.956002919175333,-0.0292911984717259,0.637381513898781,0.026445470963994227,0.0,0.619 ± 0.074,0.432 ± 0.092
HIV,gmm,3.0,3,0.9571428571428572,0.956002919175333,-0.0011399379675242072,1.1452942236803,0.01751578200077259,0.0,0.599 ± 0.059,0.462 ± 0.128
HIV,cvae,3.0,3,0.896,0.956002919175333,0.06000291917533296,1.9787576074382398,0.07941302946741757,0.0,0.783 ± 0.053,0.724 ± 0.064
HIV,iid_columnwise,3.0,3,0.9291338582677166,0.956002919175333,0.026869060907616427,0.5034584882102001,0.4676731481279987,0.0,0.607 ± 0.113,0.551 ± 0.123
HIV,bootstrap,5.0,5,0.9927007299270073,0.9708812260536398,-0.021819503873367507,0.7959282651132241,0.03822346952620939,0.0,0.633 ± 0.057,0.378 ± 0.077
HIV,gmm,5.0,5,0.9781021897810219,0.9708812260536398,-0.007220963727382124,1.1558505467903977,0.042763441962046365,0.0,0.600 ± 0.062,0.536 ± 0.106
HIV,cvae,5.0,5,0.9384615384615385,0.9708812260536398,0.03241968759210134,0.7757238791963406,0.1547535535382834,0.0,0.647 ± 0.094,0.623 ± 0.096
HIV,iid_columnwise,5.0,5,0.9302325581395349,0.9708812260536398,0.04064866791410493,0.4440097360996374,0.38844489831712276,0.0,0.680 ± 0.098,0.601 ± 0.098
HIV,bootstrap,10.0,10,1.0,0.9702886334610472,-0.029711366538952788,0.7953558712859072,0.07207957180813496,0.0,0.632 ± 0.048,0.427 ± 0.102
HIV,gmm,10.0,10,0.9925925925925926,0.9702886334610472,-0.02230395913154537,1.0928809438840834,0.06785441953514951,0.0,0.589 ± 0.058,0.570 ± 0.099
HIV,cvae,10.0,10,0.9774436090225563,0.9702886334610472,-0.007154975561509125,1.9091831424590922,0.13521050414834102,0.0,0.703 ± 0.092,0.680 ± 0.098
