Dataset,Method,k (features dropped),# Features,TSTR F1 ↑,TRTR F1 (base),Util Gap ↓,KLD Mean ↓,Corr Diff ↓,Prop Sig ↓,RF Sep (mean ± SD),Disc F1 (mean ± SD)
HIV,bootstrap,1.0,62,0.9855072463768116,0.9585696040868456,-0.02693764228996609,0.7575137674008117,0.07123587685597445,0.0,0.648 ± 0.063,0.429 ± 0.093
HIV,gmm,1.0,62,0.9714285714285714,0.9585696040868456,-0.012858967341725869,1.1973064249523244,0.08912686892548431,0.016129032258064516,0.948 ± 0.048,0.905 ± 0.073
HIV,cvae,1.0,62,0.9850746268656716,0.9585696040868456,-0.02650502277882605,2.585717310209572,0.13233106266596148,0.25806451612903225,0.855 ± 0.049,0.797 ± 0.068
HIV,iid_columnwise,1.0,62,0.9784172661870504,0.9585696040868456,-0.019847662100204833,0.7358672355739926,0.2971967854919697,0.016129032258064516,0.596 ± 0.078,0.514 ± 0.086
HIV,bootstrap,3.0,60,0.9855072463768116,0.9585696040868456,-0.02693764228996609,0.7622658785519901,0.07028907408289907,0.0,0.610 ± 0.080,0.453 ± 0.092
HIV,gmm,3.0,60,0.9784172661870504,0.9585696040868456,-0.019847662100204833,1.1803564764822967,0.10087052480716639,0.03333333333333333,0.970 ± 0.030,0.906 ± 0.069
HIV,cvae,3.0,60,0.9577464788732394,0.9585696040868456,0.0008231252136061684,2.810570476108024,0.14187327954772994,0.05,0.814 ± 0.106,0.741 ± 0.115
HIV,iid_columnwise,3.0,60,0.9855072463768116,0.9585696040868456,-0.02693764228996609,0.6941554366338915,0.29544091462180316,0.0,0.624 ± 0.076,0.558 ± 0.092
HIV,bootstrap,5.0,58,0.9855072463768116,0.9585696040868456,-0.02693764228996609,0.7529044125732696,0.07037533173360312,0.0,0.646 ± 0.084,0.424 ± 0.123
HIV,gmm,5.0,58,0.9577464788732394,0.9585696040868456,0.0008231252136061684,1.2305586024975268,0.08638592730119787,0.017241379310344827,0.962 ± 0.021,0.878 ± 0.051
HIV,cvae,5.0,58,0.9640287769784173,0.9585696040868456,-0.0054591728915717175,2.5087768116807,0.1381211798097129,0.15517241379310345,0.889 ± 0.063,0.825 ± 0.085
HIV,iid_columnwise,5.0,58,0.9645390070921985,0.9585696040868456,-0.00596940300535298,0.7120758141098698,0.2996848594285558,0.0,0.647 ± 0.087,0.565 ± 0.128
HIV,bootstrap,10.0,53,0.9784172661870504,0.9452362707535121,-0.03318099543353825,0.7489535573954091,0.06899334466110159,0.0,0.674 ± 0.091,0.410 ± 0.119
HIV,gmm,10.0,53,0.9781021897810219,0.9452362707535121,-0.03286591902750979,1.3531247991723194,0.0952747531040005,0.0,0.967 ± 0.038,0.911 ± 0.060
HIV,cvae,10.0,53,0.9850746268656716,0.9452362707535121,-0.03983835611215947,2.5693824795358666,0.11634542698025062,0.37735849056603776,0.810 ± 0.096,0.772 ± 0.059
HIV,iid_columnwise,10.0,53,0.9645390070921985,0.9452362707535121,-0.0193027363386864,0.6918002707422264,0.3099612836828754,0.0,0.599 ± 0.075,0.525 ± 0.113
breast_cancer,bootstrap,1.0,29,0.9845722300140253,0.9692381689406785,-0.015334061073346783,0.08911130742888282,0.02910673799818234,0.0,0.587 ± 0.068,0.520 ± 0.069
breast_cancer,gmm,1.0,29,0.9566433566433566,0.9692381689406785,0.012594812297321845,0.33178006009880856,0.0796441677525827,0.10344827586206896,0.870 ± 0.038,0.783 ± 0.066
breast_cancer,cvae,1.0,29,0.9762900976290098,0.9692381689406785,-0.007051928688331266,0.3210916670106604,0.0804388707558836,0.3103448275862069,0.616 ± 0.065,0.560 ± 0.097
breast_cancer,iid_columnwise,1.0,29,0.96,0.9692381689406785,0.009238168940678526,0.08688466773575722,0.20587573614796148,0.0,0.609 ± 0.056,0.533 ± 0.107
breast_cancer,bootstrap,3.0,27,0.9859550561797753,0.9720568349406328,-0.013898221239142527,0.08866496962883438,0.029735906154846937,0.0,0.562 ± 0.058,0.454 ± 0.135
breast_cancer,gmm,3.0,27,0.9649368863955119,0.9720568349406328,0.00711994854512088,0.2806925144885921,0.09130814740202396,0.0,0.802 ± 0.065,0.763 ± 0.056
breast_cancer,cvae,3.0,27,0.9735006973500697,0.9720568349406328,-0.0014438624094369468,0.26202713113455833,0.08676998272306974,0.14814814814814814,0.613 ± 0.099,0.570 ± 0.102
breast_cancer,iid_columnwise,3.0,27,0.9534246575342465,0.9720568349406328,0.01863217740638623,0.07359419798874407,0.2048765022118995,0.0,0.584 ± 0.068,0.512 ± 0.082
breast_cancer,bootstrap,5.0,25,0.9831932773109243,0.9707967697507234,-0.012396507560200942,0.09000977344678665,0.030660147419507393,0.0,0.576 ± 0.063,0.499 ± 0.127
