Dataset,Method,Dropped Feature,TSTR F1 ↑,TRTR F1 (base),Util Gap ↓,KLD Mean ↓,Corr Diff ↓,Prop Sig ↓,RF Sep (mean ± SD),Disc F1 (mean ± SD)
HIV,bootstrap,drop_idx_0,0.9629629629629628,0.9442113442113442,-0.0187516187516186,1.8998007344204328,0.1412667988895238,0.0,0.678 ± 0.058,0.459 ± 0.086
breast_cancer,bootstrap,drop_idx_0,0.993006993006993,0.9755529890557112,-0.0174540039512817,0.4730879961967047,0.0446309728189535,0.0,0.620 ± 0.059,0.421 ± 0.129
diabetes,bootstrap,drop_idx_0,0.8442211055276382,0.6264450786189917,-0.2177760269086465,0.0877164952578045,0.0293661800739087,0.1428571428571428,0.557 ± 0.039,0.503 ± 0.083
HIV,gmm,drop_idx_0,0.981132075471698,0.9442113442113442,-0.0369207312603538,3.546301923596254,0.1277319874871587,0.0,0.827 ± 0.144,0.778 ± 0.121
breast_cancer,gmm,drop_idx_0,0.9614035087719298,0.9755529890557112,0.0141494802837814,0.6093195382091546,0.0999230457985473,0.0,0.813 ± 0.080,0.733 ± 0.054
diabetes,gmm,drop_idx_0,0.6524064171122995,0.6264450786189917,-0.0259613384933078,0.4565203291169068,0.0425691023243476,0.1428571428571428,0.731 ± 0.053,0.658 ± 0.062
HIV,cvae,drop_idx_0,1.0,0.9442113442113442,-0.0557886557886557,6.587917226309847,0.1666658401017915,0.3387096774193548,0.834 ± 0.099,0.767 ± 0.124
breast_cancer,cvae,drop_idx_0,0.9657534246575342,0.9755529890557112,0.009799564398177,0.8222698106722356,0.0828448754436089,0.0,0.581 ± 0.048,0.552 ± 0.078
diabetes,cvae,drop_idx_0,0.6857142857142857,0.6264450786189917,-0.059269207095294,0.8523813284584217,0.0993533853523715,0.2857142857142857,0.746 ± 0.107,0.661 ± 0.111
HIV,bootstrap,drop_idx_1,0.9629629629629628,0.9442113442113442,-0.0187516187516186,1.924608149080263,0.1400435465064433,0.0,0.673 ± 0.064,0.453 ± 0.090
breast_cancer,bootstrap,drop_idx_1,0.993006993006993,0.972046495549218,-0.020960497457775,0.4908564222035909,0.0405403276832347,0.0,0.599 ± 0.070,0.460 ± 0.129
diabetes,bootstrap,drop_idx_1,0.8282828282828283,0.5508547008547009,-0.2774281274281274,0.0855045416175009,0.0308406622156539,0.1428571428571428,0.590 ± 0.071,0.491 ± 0.075
HIV,gmm,drop_idx_1,1.0,0.9442113442113442,-0.0557886557886557,3.617430863143031,0.1200765729299498,0.0161290322580645,0.776 ± 0.135,0.691 ± 0.169
breast_cancer,gmm,drop_idx_1,0.9574468085106383,0.972046495549218,0.0145996870385796,0.4914217773256298,0.0758205151419475,0.0,0.800 ± 0.075,0.726 ± 0.101
diabetes,gmm,drop_idx_1,0.4623655913978494,0.5508547008547009,0.0884891094568514,0.6171717119884949,0.0409380724856217,0.1428571428571428,0.756 ± 0.066,0.681 ± 0.069
HIV,cvae,drop_idx_1,0.9629629629629628,0.9442113442113442,-0.0187516187516186,6.334496526442204,0.1472986389619163,0.2096774193548387,0.797 ± 0.076,0.732 ± 0.076
breast_cancer,cvae,drop_idx_1,0.9690721649484536,0.972046495549218,0.0029743306007643,0.7785701041097821,0.076791382295253,0.0,0.571 ± 0.069,0.544 ± 0.100
diabetes,cvae,drop_idx_1,0.5918367346938775,0.5508547008547009,-0.0409820338391766,0.8214962379965863,0.0770455601240064,0.2857142857142857,0.714 ± 0.102,0.625 ± 0.088
HIV,bootstrap,drop_idx_10,0.9629629629629628,0.9442113442113442,-0.0187516187516186,1.931781264533748,0.1405891897485272,0.0,0.662 ± 0.051,0.448 ± 0.098
breast_cancer,bootstrap,drop_idx_10,0.9894736842105264,0.9684124103361852,-0.0210612738743409,0.4735469538459655,0.0450988681046358,0.0,0.597 ± 0.080,0.401 ± 0.120
HIV,gmm,drop_idx_10,1.0,0.9442113442113442,-0.0557886557886557,3.390251115570829,0.1183544990133999,0.1451612903225806,0.877 ± 0.102,0.778 ± 0.094
breast_cancer,gmm,drop_idx_10,0.9652777777777778,0.9684124103361852,0.0031346325584075,0.5566274261400896,0.1159536873670146,0.0,0.846 ± 0.071,0.779 ± 0.063
HIV,cvae,drop_idx_10,0.8,0.9442113442113442,0.1442113442113441,7.128883947686212,0.1472611382493454,0.1774193548387097,0.846 ± 0.074,0.766 ± 0.075
breast_cancer,cvae,drop_idx_10,0.9752650176678446,0.9684124103361852,-0.0068526073316592,0.772501744258401,0.0808796061886343,0.0344827586206896,0.561 ± 0.044,0.520 ± 0.093
