dataset,frac,seed,method,trtr_f1,trtr_auc,tstr_f1,tstr_auc,utility_gap_f1,utility_gap_auc,utility_ratio_f1,utility_ratio_auc,n_train_real,n_test_real
HIV,0.2,0,bootstrap,0.8888888888888888,1.0,0.9090909090909091,0.6,-0.02020202020202022,0.4,1.0227272727272727,0.6,11,6
HIV,0.2,0,gmm,0.8888888888888888,1.0,0.75,0.8,0.13888888888888884,0.19999999999999996,0.84375,0.8,11,6
HIV,0.2,0,cvae,0.8888888888888888,1.0,0.8888888888888888,0.8,0.0,0.19999999999999996,1.0,0.8,11,6
HIV,0.2,1,bootstrap,0.8,0.8,0.9090909090909091,0.8,-0.10909090909090902,0.0,1.1363636363636362,1.0,11,6
HIV,0.2,1,gmm,0.8,0.8,0.8,0.8,0.0,0.0,1.0,1.0,11,6
HIV,0.2,1,cvae,0.8,0.8,0.9090909090909091,1.0,-0.10909090909090902,-0.19999999999999996,1.1363636363636362,1.25,11,6
HIV,0.2,2,bootstrap,1.0,1.0,0.8888888888888888,1.0,0.11111111111111116,0.0,0.8888888888888888,1.0,11,6
HIV,0.2,2,gmm,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,11,6
HIV,0.2,2,cvae,1.0,1.0,0.5714285714285714,0.8,0.4285714285714286,0.19999999999999996,0.5714285714285714,0.8,11,6
HIV,0.2,3,bootstrap,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,11,6
HIV,0.2,3,gmm,1.0,1.0,0.8,0.8,0.19999999999999996,0.19999999999999996,0.8,0.8,11,6
HIV,0.2,3,cvae,1.0,1.0,0.75,0.6,0.25,0.4,0.75,0.6,11,6
HIV,0.2,4,bootstrap,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,11,6
HIV,0.2,4,gmm,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,11,6
HIV,0.2,4,cvae,1.0,1.0,0.8888888888888888,0.8,0.11111111111111116,0.19999999999999996,0.8888888888888888,0.8,11,6
HIV,0.2,5,bootstrap,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,11,6
HIV,0.2,5,gmm,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,11,6
HIV,0.2,5,cvae,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,11,6
HIV,0.2,6,bootstrap,0.9090909090909091,0.8,0.75,0.6,0.15909090909090906,0.20000000000000007,0.8250000000000001,0.7499999999999999,11,6
HIV,0.2,6,gmm,0.9090909090909091,0.8,0.8,0.8,0.10909090909090902,0.0,0.8800000000000001,1.0,11,6
HIV,0.2,6,cvae,0.9090909090909091,0.8,0.8,0.6,0.10909090909090902,0.20000000000000007,0.8800000000000001,0.7499999999999999,11,6
